SerialNumber: F31172231833-3B52,,,,,
time,q1,q2,q3,q4,
,,,,,
07/16/2025 13:22:20.925,-0.7399876,0.614466,-0.2736026,-0.01531121,3
07/16/2025 13:22:21.025,-0.7292148,0.62708,-0.2710789,-0.04214013,3
07/16/2025 13:22:21.125,-0.7197639,0.6374049,-0.2702036,-0.05374059,3
07/16/2025 13:22:21.225,-0.7156857,0.6410176,-0.2715056,-0.05846563,3
07/16/2025 13:22:21.325,-0.7113178,0.644456,-0.2757062,-0.05415336,3
07/16/2025 13:22:21.425,-0.7021282,0.6423964,-0.3071343,-0.0159879,3
07/16/2025 13:22:21.525,-0.6935238,0.6360702,-0.3385894,-0.006291787,3
07/16/2025 13:22:21.625,-0.7002158,0.6355441,-0.3229955,-0.04121685,3
07/16/2025 13:22:21.725,-0.6851081,0.6534892,-0.3161245,-0.06235764,3
07/16/2025 13:22:21.825,-0.6631587,0.680925,-0.293049,-0.1045308,3
07/16/2025 13:22:21.925,-0.6418247,0.6993116,-0.2885348,-0.12655,3
07/16/2025 13:22:22.025,-0.6069714,0.7312181,-0.2728883,-0.1506067,3
07/16/2025 13:22:22.125,-0.5658953,0.7720734,-0.2592381,-0.1292472,3
07/16/2025 13:22:22.225,-0.5281904,0.8082646,-0.2142866,-0.1484888,3
07/16/2025 13:22:22.325,-0.5036451,0.8280303,-0.1762529,-0.1728757,3
07/16/2025 13:22:22.425,-0.4915486,0.8334524,-0.1480321,-0.2051041,3
07/16/2025 13:22:22.525,-0.4814106,0.8346533,-0.1234925,-0.2378883,2
07/16/2025 13:22:22.625,-0.4790954,0.8306538,-0.09929983,-0.2662035,2
07/16/2025 13:22:22.725,-0.4825338,0.8108529,-0.09373613,-0.31802,2
07/16/2025 13:22:22.825,-0.466161,0.7971821,-0.09263762,-0.3726342,2
07/16/2025 13:22:22.925,-0.4502321,0.7857144,-0.09494146,-0.4137314,2
07/16/2025 13:22:23.025,-0.4481609,0.7784285,-0.08596354,-0.4313402,2
07/16/2025 13:22:23.125,-0.4696165,0.767187,-0.07712162,-0.4303255,2
07/16/2025 13:22:23.225,-0.485885,0.7584292,-0.0671417,-0.4294604,2
07/16/2025 13:22:23.325,-0.4930272,0.7453151,-0.06038395,-0.4450014,2
07/16/2025 13:22:23.425,-0.4966475,0.7404443,-0.05888283,-0.4492873,2
07/16/2025 13:22:23.525,-0.51624,0.7359115,-0.06343216,-0.4337619,2
07/16/2025 13:22:23.625,-0.5333565,0.7319629,-0.073253,-0.4178972,3
07/16/2025 13:22:23.725,-0.5517306,0.7232354,-0.08726558,-0.4063887,3
07/16/2025 13:22:23.825,-0.5691889,0.7138522,-0.1084566,-0.3935985,3
07/16/2025 13:22:23.925,-0.5820857,0.7022527,-0.1236558,-0.3911135,3
07/16/2025 13:22:24.025,-0.610365,0.677553,-0.1364407,-0.3873037,3
