SerialNumber: E58926083144-43F0
time	q1	q2	q3	q4	

07/16/2025 13:22:20.925	-0.1603319	0.9716489	-0.1614889	0.06600583	2
07/16/2025 13:22:21.025	-0.1503461	0.9717059	-0.17219	0.06146039	2
07/16/2025 13:22:21.125	-0.1471753	0.9708124	-0.1803203	0.05991945	2
07/16/2025 13:22:21.225	-0.1431182	0.9720935	-0.1776863	0.05676366	2
07/16/2025 13:22:21.325	-0.1569796	0.9671184	-0.1897644	0.0653634	2
07/16/2025 13:22:21.425	-0.2001337	0.9480748	-0.2384026	0.06714809	3
07/16/2025 13:22:21.525	-0.2198945	0.9401563	-0.253652	0.06046622	2
07/16/2025 13:22:21.625	-0.2197357	0.9400979	-0.2508765	0.07236274	2
07/16/2025 13:22:21.725	-0.2205786	0.9505875	-0.2105907	0.06024317	2
07/16/2025 13:22:21.825	-0.2053536	0.9719595	-0.1086798	0.03945116	2
07/16/2025 13:22:21.925	-0.2081745	0.9735403	-0.08001535	0.05219778	2
07/16/2025 13:22:22.025	-0.2255195	0.9698969	-0.03091199	0.08791954	2
07/16/2025 13:22:22.125	-0.2598323	0.9498856	-0.005293052	0.1744254	2
07/16/2025 13:22:22.225	-0.2929883	0.9155589	0.03416511	0.27384	2
07/16/2025 13:22:22.325	-0.312973	0.8784537	0.06192454	0.3560583	2
07/16/2025 13:22:22.425	-0.3178294	0.8436552	0.1095144	0.4189048	1
07/16/2025 13:22:22.525	-0.3152404	0.815916	0.1376346	0.4649733	1
07/16/2025 13:22:22.625	-0.3141052	0.790253	0.1587166	0.5018845	1
07/16/2025 13:22:22.725	-0.2870989	0.7666286	0.2136363	0.533341	1
07/16/2025 13:22:22.825	-0.2636535	0.7609308	0.2382047	0.5431102	1
07/16/2025 13:22:22.925	-0.2438082	0.7532816	0.2780729	0.5440954	4
07/16/2025 13:22:23.025	-0.2468953	0.7412457	0.3067013	0.5438484	4
07/16/2025 13:22:23.125	-0.2643626	0.7284731	0.3333449	0.5371783	4
07/16/2025 13:22:23.225	-0.2663727	0.7158579	0.3669593	0.5312007	4
07/16/2025 13:22:23.325	-0.2442953	0.7132584	0.3927811	0.5268279	4
07/16/2025 13:22:23.425	-0.2414749	0.7231768	0.4057389	0.5043049	4
07/16/2025 13:22:23.525	-0.2441419	0.7314846	0.4149433	0.4831026	4
07/16/2025 13:22:23.625	-0.2506687	0.7386239	0.4263638	0.458317	4
07/16/2025 13:22:23.725	-0.2532661	0.7431201	0.4468156	0.4292159	4
07/16/2025 13:22:23.825	-0.2532679	0.7558041	0.447565	0.4056381	4
07/16/2025 13:22:23.925	-0.2551458	0.7598958	0.4482182	0.3959816	4
07/16/2025 13:22:24.025	-0.2692545	0.7584434	0.4436731	0.39454	4
07/16/2025 13:22:24.125	-0.3219953	0.736542	0.4545766	0.3839622	4
07/16/2025 13:22:24.225	-0.3871662	0.7018532	0.4690089	0.3711844	4
07/16/2025 13:22:24.325	-0.4388243	0.6777731	0.4708722	0.3557816	4
07/16/2025 13:22:24.425	-0.4595568	0.663992	0.480462	0.3425249	4
07/16/2025 13:22:24.525	-0.4693674	0.6553757	0.4895867	0.3327562	4
07/16/2025 13:22:24.625	-0.4637581	0.6556776	0.4961423	0.3303074	4
07/16/2025 13:22:24.725	-0.4394515	0.6745281	0.4904864	0.3340088	4
07/16/2025 13:22:24.825	-0.3830516	0.7150193	0.4704494	0.3477635	4
07/16/2025 13:22:24.925	-0.3270624	0.7743061	0.4009558	0.3646335	4
07/16/2025 13:22:25.025	-0.4438249	0.7261355	0.4221823	0.3126473	4
07/16/2025 13:22:25.125	-0.5518759	0.7029052	0.4326985	0.1198805	4
07/16/2025 13:22:25.225	-0.5481838	0.7826577	0.2952557	-0.002776653	4
07/16/2025 13:22:25.325	-0.5448844	0.8134827	0.201245	-0.0330426	4
07/16/2025 13:22:25.425	-0.5206352	0.8184116	0.243302	0.01369914	4
07/16/2025 13:22:25.525	-0.429824	0.8280502	0.3526208	0.0740683	4
07/16/2025 13:22:25.625	-0.4251341	0.803691	0.3519751	0.2229275	4
07/16/2025 13:22:25.725	-0.4055522	0.7591302	0.3034028	0.4091882	4
07/16/2025 13:22:25.825	-0.4027102	0.6890845	0.215808	0.5627188	4
07/16/2025 13:22:25.925	-0.5063347	0.6766194	0.1339408	0.5178018	4
07/16/2025 13:22:26.025	-0.6147296	0.750677	0.1363934	0.2006053	4
07/16/2025 13:22:26.125	-0.4702767	0.8773338	0.04781529	-0.08413046	4
07/16/2025 13:22:26.225	-0.4606045	0.8658212	-0.1547628	-0.1203633	4
07/16/2025 13:22:26.325	-0.5068706	0.8374445	-0.1916251	-0.07275592	1
07/16/2025 13:22:26.425	-0.5406596	0.8296646	-0.1298447	-0.05224312	1
07/16/2025 13:22:26.525	-0.5225545	0.8483812	-0.04412051	-0.07405272	1
07/16/2025 13:22:26.625	-0.5001475	0.8626443	-0.02070738	-0.07425313	1
07/16/2025 13:22:26.725	-0.4881967	0.8697861	0.01371025	-0.07206868	1
07/16/2025 13:22:26.825	-0.4861177	0.8720359	0.02588811	-0.05308885	1
07/16/2025 13:22:26.925	-0.489315	0.870725	0.02541082	-0.04481905	1
07/16/2025 13:22:27.025	-0.4952778	0.867476	0.01969252	-0.04520332	1
07/16/2025 13:22:27.125	-0.4947302	0.8665861	0.05861489	-0.03287226	1
07/16/2025 13:22:27.225	-0.5182844	0.8526586	0.06564304	0.01706574	1
07/16/2025 13:22:27.325	-0.5237268	0.8439544	0.1054916	0.0506799	1
07/16/2025 13:22:27.425	-0.531703	0.8329464	0.1345004	0.07515255	1
07/16/2025 13:22:27.525	-0.5398431	0.8253264	0.138871	0.09146719	1
07/16/2025 13:22:27.625	-0.5283075	0.8314109	0.1467685	0.09138771	4
07/16/2025 13:22:27.725	-0.5158623	0.8381851	0.1550728	0.08677512	4
07/16/2025 13:22:27.825	-0.5025015	0.846042	0.1588461	0.08196979	4
07/16/2025 13:22:27.925	-0.486056	0.8564341	0.156386	0.07784196	4
07/16/2025 13:22:28.025	-0.4659629	0.8668331	0.1614739	0.07517257	4
07/16/2025 13:22:28.125	-0.4465713	0.8778605	0.1581394	0.07192152	4
07/16/2025 13:22:28.225	-0.4334317	0.8843583	0.1648494	0.05583874	4
07/16/2025 13:22:28.325	-0.4510717	0.8809576	0.1351078	0.04939315	4
07/16/2025 13:22:28.425	-0.4306144	0.8829799	0.1872592	-0.009786979	4
07/16/2025 13:22:28.525	-0.4143354	0.8733233	0.24019	-0.0904827	4
07/16/2025 13:22:28.625	-0.4021549	0.894428	0.1834016	-0.06984873	4
07/16/2025 13:22:28.725	-0.3679941	0.8837833	0.2625295	-0.12178	4
07/16/2025 13:22:28.825	-0.3483533	0.8975365	0.2435603	-0.1183279	4
07/16/2025 13:22:28.925	-0.3526581	0.895299	0.2645756	-0.0657005	4
07/16/2025 13:22:29.025	-0.3797338	0.8656479	0.3170397	0.07863934	4
07/16/2025 13:22:29.125	-0.3832642	0.8193541	0.358415	0.2314051	4
07/16/2025 13:22:29.225	-0.3482604	0.7670793	0.4374112	0.3149886	4
07/16/2025 13:22:29.325	-0.3043824	0.7550989	0.4817729	0.3245225	4
07/16/2025 13:22:29.425	-0.2792994	0.7874681	0.465387	0.2924785	4
07/16/2025 13:22:29.525	-0.3149049	0.8006118	0.4320515	0.2709793	4
07/16/2025 13:22:29.625	-0.4039936	0.7981318	0.3763602	0.2416018	4
07/16/2025 13:22:29.725	-0.4373909	0.8251145	0.2754595	0.2285631	4
07/16/2025 13:22:29.825	-0.4189066	0.8731102	0.2352186	0.08430925	4
07/16/2025 13:22:29.925	-0.3152717	0.9235402	0.1756798	-0.1305932	4
07/16/2025 13:22:30.025	-0.2941597	0.9401685	0.02548524	-0.1707279	4
07/16/2025 13:22:30.125	-0.2863214	0.9380104	0.07608623	-0.1805816	4
07/16/2025 13:22:30.225	-0.3169688	0.9240416	0.07244141	-0.2016821	4
07/16/2025 13:22:30.325	-0.3302857	0.9171078	0.07295577	-0.2115369	4
07/16/2025 13:22:30.425	-0.3642631	0.9071884	0.04830168	-0.2055096	1
07/16/2025 13:22:30.525	-0.4480744	0.8840985	0.04979885	-0.1239338	1
07/16/2025 13:22:30.625	-0.5635751	0.8088251	0.1453439	0.08543813	1
07/16/2025 13:22:30.725	-0.6015291	0.7118063	0.2715196	0.2408598	4
07/16/2025 13:22:30.825	-0.5533627	0.6993825	0.2733781	0.3607804	4
